Generation,Best,Worst,Avg
612,30035,30084,30062.6
613,30068,30167,30096.4
614,30003,30148,30056.4
615,30002,30084,30064
616,30015,30087,30070.4
617,30084,30144,30097.8
618,30087,30144,30112
619,30087,30123,30100.6
620,30087,30123,30101.4
621,30087,30144,30107.8
622,30087,30144,30109.8
623,30087,30144,30098.4
624,30087,30144,30131.2
625,30087,30194,30119.8
626,30087,30144,30098.4
627,30087,30117,30093
628,30087,30087,30087
629,30087,30087,30087
630,30087,30087,30087
631,30087,30136,30096.8
632,30038,30136,30085.6
633,30080,30136,30100.8
634,30080,30134,30099
635,30080,30134,30090.8
636,30080,30134,30108.4
637,30065,30134,30098.6
638,30057,30094,30078.2
639,30068,30094,30084.2
640,30015,30094,30068.4
641,30015,30094,30045.8
642,30015,30094,30030.8
643,30015,30015,30015
644,30015,30015,30015
645,30015,30015,30015
646,30015,30015,30015
647,30015,30015,30015
648,30015,30015,30015
649,30015,30150,30055
650,30015,30107,30075.4
651,30040,30103,30083.2
652,30064,30091,30083.8
653,30011,30091,30064.8
654,30012,30091,30055.8
655,30058,30091,30080.8
656,30058,30091,30082.6
657,30082,30091,30083.8
658,30082,30082,30082
659,30082,30082,30082
660,30082,30082,30082
661,30082,30082,30082
662,30056,30082,30076.8
663,30082,30082,30082
664,30082,30082,30082
665,30082,30174,30100.4
666,30078,30174,30125
667,30078,30174,30116.8
668,30046,30080,30067.8
669,29958,30098,30040.6
670,29977,30148,30067.2
671,29977,30044,29990.4
672,29944,30041,29995.8
673,29968,30032,30012.2
674,29987,30070,30020.6
675,29916,30073,30020.2
676,29935,30080,30037.8
677,30008,30080,30053.6
678,30008,30129,30068.6
679,29951,30155,30064.6
680,30008,30141,30074.8
681,30008,30173,30093.2
682,30063,30178,30118.4
683,30063,30178,30131.8
684,29996,30178,30137.6
685,30158,30178,30166
686,30158,30256,30181.6
687,30064,30158,30139.2
688,30158,30158,30158
689,30158,30158,30158
690,30152,30158,30156.8
691,30152,30223,30168.6
692,30098,30223,30161.6
693,30093,30158,30132.2
694,30158,30158,30158
695,30119,30158,30150.2
696,30119,30231,30164.8
697,30117,30158,30142
698,30070,30158,30115.8
699,30111,30169,30126.2
700,30117,30169,30132.8
701,30128,30218,30170.6
702,30169,30218,30198.4
703,30218,30229,30222.4
704,30229,30229,30229
705,30229,30229,30229
706,30219,30229,30227
707,30229,30229,30229
708,30229,30229,30229
709,30229,30229,30229
710,30229,30229,30229
711,30193,30229,30221.8
712,30196,30229,30222.4
713,30156,30263,30203.4
714,30156,30229,30199.8
715,30154,30213,30186.2
716,30118,30358,30211.6
717,30082,30348,30211.8
718,30082,30456,30225.8
719,30187,30502,30335.4
720,30158,30293,30206.4
721,30187,30293,30208.2
722,30139,30187,30177.4
723,30050,30187,30140.4
724,30122,30187,30165.4
725,30122,30227,30158.4
726,30108,30151,30130.4
727,30054,30135,30093.4
728,30014,30133,30068.6
729,30010,30110,30053.2
730,29978,30110,30058
731,29978,30062,30040.4
732,29978,30054,30037.4
733,29987,30064,30039.8
734,30000,30064,30032.2
735,30000,30021,30008
736,29969,30046,30013.2
737,29969,30046,30004
738,30018,30046,30029.2
739,30018,30046,30029.2
740,30018,30046,30023.6
741,30018,30046,30040.4
742,30046,30046,30046
743,30046,30046,30046
744,30046,30131,30063
745,30046,30131,30063.2
746,30025,30131,30072.2
747,30076,30131,30111.6
748,30089,30131,30114.2
749,30089,30131,30122.6
750,30089,30131,30122.6
751,30131,30131,30131
752,30089,30131,30122.6
753,30033,30131,30086.2
754,30016,30180,30092.4
755,30054,30180,30121.8
756,30096,30224,30145.2
757,30058,30224,30114.8
758,30064,30289,30184.8
759,30064,30227,30146
760,29961,30212,30095.2
761,30052,30132,30099.8
762,29999,30160,30069.4
763,29958,30082,30022.6
764,29985,30143,30073.4
765,29977,30176,30093
766,29977,30176,30104
767,30053,30300,30160.8
768,30113,30300,30198.2
769,30138,30300,30223.8
770,30138,30310,30221.4
771,30082,30310,30184.8
772,30089,30346,30208.2
773,30089,30358,30239.6
774,30054,30394,30220.2
775,30147,30389,30239.6
776,30077,30317,30167
777,30077,30147,30113.4
778,30077,30173,30118.6
779,30119,30173,30141
780,30119,30162,30139.8
781,30119,30147,30141.4
782,30099,30119,30115
783,30100,30119,30115.2
784,30100,30119,30107.6
785,30119,30119,30119
786,30119,30119,30119
787,30119,30119,30119
788,30114,30119,30118
789,30119,30119,30119
790,30119,30119,30119
791,30119,30119,30119
792,30119,30119,30119
793,30119,30119,30119
794,30119,30119,30119
795,30119,30119,30119
796,30119,30119,30119
797,30070,30119,30109.2
798,30119,30119,30119
799,30119,30119,30119
800,30119,30119,30119
801,30119,30119,30119
802,30119,30119,30119
803,30119,30174,30139.8
804,30119,30174,30130
805,30119,30192,30144.6
806,30119,30192,30148.2
807,30119,30192,30162.8
808,30192,30192,30192
809,30192,30192,30192
810,30192,30192,30192
811,30192,30192,30192
812,30192,30192,30192
813,30192,30238,30201.2
814,30192,30260,30214.8
815,30192,30250,30207.8
816,30192,30250,30224
817,30201,30314,30249.2
818,30242,30304,30272.4
819,30217,30323,30279
820,30225,30323,30284.4
821,30229,30323,30296.6
822,30229,30323,30304.2
823,30264,30358,30318.2
824,30264,30358,30318.2
825,30248,30358,30304.6
826,30284,30358,30336.2
827,30323,30358,30330
828,30280,30358,30335.4
829,30280,30333,30310.8
830,30217,30383,30327.4
831,30217,30433,30287.8
832,30217,30327,30250.2
833,30214,30327,30255.2
834,30213,30369,30273.6
835,30213,30267,30224.4
836,30214,30214,30214
837,30214,30214,30214
838,30214,30214,30214
839,30214,30214,30214
840,30157,30214,30197.2
841,30157,30214,30191.8
842,30187,30217,30198.4
843,30187,30214,30197.8
844,30149,30214,30190.2
845,30149,30214,30201
846,30214,30214,30214
847,30214,30214,30214
848,30214,30214,30214
849,30214,30214,30214
850,30214,30214,30214
851,30203,30214,30211.8
852,30159,30214,30203
853,30214,30214,30214
854,30214,30214,30214
855,30214,30214,30214
856,30189,30231,30212.4
857,30189,30266,30219.8
858,30189,30266,30218
859,30157,30214,30187.2
860,30138,30281,30197
861,30115,30214,30184.6
862,30115,30247,30196.2
863,30247,30247,30247
864,30180,30247,30233.6
865,30169,30247,30231.4
866,30143,30247,30226.2
867,30143,30247,30217.6
868,30126,30247,30209.8
869,30114,30247,30165.6
870,30204,30247,30229.8
871,30178,30256,30217.8
872,30154,30234,30212
873,30154,30234,30182
874,30154,30259,30205.8
875,30230,30280,30255
876,30201,30259,30243.2
877,30201,30320,30248.4
878,30203,30278,30247.6
879,30112,30278,30234.8
880,30112,30300,30229.4
881,30142,30327,30236
882,30243,30308,30273
883,30264,30312,30285
884,30283,30312,30300.2
885,30226,30342,30278.8
886,30184,30360,30296.8
887,30184,30360,30285.2
888,30272,30360,30308.8
889,30225,30393,30314.8
890,30225,30285,30250
891,30198,30318,30256.6
892,30280,30318,30300.2
893,30285,30361,30315.2
894,30232,30299,30276
895,30279,30301,30295
896,30279,30301,30294.2
897,30295,30341,30308.8
898,30295,30346,30312
899,30312,30441,30378.6
900,30361,30441,30390.6
901,30378,30545,30427.6
902,30378,30396,30388.8
903,30294,30396,30364.8
904,30378,30399,30389.4
905,30378,30399,30390
906,30378,30465,30408.2
907,30378,30465,30417.8
908,30378,30465,30412.6
909,30296,30465,30380.2
910,30378,30465,30416.2
911,30410,30455,30440.2
912,30365,30455,30413.2
913,30349,30381,30365
914,30298,30410,30348.8
915,30218,30410,30333.8
916,30297,30307,30303.6
917,30298,30363,30316.4
918,30307,30307,30307
919,30307,30307,30307
920,30307,30307,30307
921,30307,30394,30324.4
922,30307,30404,30326.4
923,30300,30371,30326.4
924,30300,30371,30325.2
925,30307,30321,30318.2
926,30262,30329,30308.8
927,30287,30416,30334.8
928,30287,30321,30307.4
929,30209,30333,30301
930,30209,30333,30279.4
931,30209,30333,30290.6
932,30269,30321,30309.6
933,30256,30321,30302.8
934,30256,30321,30290.4
935,30256,30321,30307
936,30256,30321,30276.4
937,30263,30369,30302.2
938,30238,30390,30295.4
939,30210,30331,30262
940,30238,30334,30279
941,30194,30342,30259.8
942,30194,30381,30278.2
943,30175,30381,30310.4
944,30166,30381,30314.4
945,30381,30381,30381
946,30381,30421,30389
947,30381,30386,30382
948,30381,30381,30381
949,30381,30381,30381
950,30381,30381,30381
951,30366,30381,30378
952,30326,30381,30370
953,30273,30381,30358.4
954,30381,30381,30381
955,30381,30384,30381.6
956,30380,30487,30408.6
957,30384,30408,30402
958,30327,30408,30387
959,30341,30408,30374.6
960,30313,30341,30335.2
961,30324,30341,30337.4
962,30324,30341,30337.4
963,30341,30380,30348.8
964,30312,30380,30343
965,30329,30380,30347.6
966,30236,30402,30327
967,30236,30341,30294.2
968,30224,30301,30246.6
969,30236,30301,30249
970,30236,30236,30236
971,30236,30236,30236
972,30236,30236,30236
973,30205,30236,30229.8
974,30236,30243,30237.4
975,30194,30280,30245.2
976,30236,30253,30239.6
977,30236,30236,30236
978,30207,30236,30230.2
979,30207,30236,30230.2
980,30236,30236,30236
981,30230,30279,30243.4
982,30236,30301,30266.2
983,30279,30330,30295.8
984,30259,30307,30292.8
985,30287,30353,30315.2
986,30278,30390,30339.2
987,30278,30370,30323
988,30278,30361,30320.8
989,30248,30375,30298.4
990,30228,30313,30283
991,30228,30313,30262.6
992,30257,30313,30301.8
993,30222,30358,30303.8
994,30290,30371,30337
995,30295,30371,30340.6
996,30295,30371,30352.2
997,30337,30458,30381.6
998,30337,30458,30420.8
999,30393,30458,30445
